,Latitude,Longitude,Class,EventDays,OutsideEvent
2470,45.718055555555566,7.998611111111131,2.0,0.0,True
2472,45.718055555555566,8.248611111111131,1.0,0.0,True
2474,45.718055555555566,8.509722222222223,1.0,0.0,True
2476,45.64027777777778,19.251388888888897,2.0,0.0,True
2478,45.718055555555566,22.24305555555557,1.0,0.0,True
2480,45.718055555555566,26.24305555555557,4.0,0.0,True
2482,45.718055555555566,26.49305555555557,3.0,0.0,True
2484,45.593055555555566,8.123611111111131,1.0,0.0,True
2486,45.593055555555566,8.373611111111131,1.0,0.0,True
2488,45.593055555555566,22.24305555555557,1.0,0.0,True
2490,45.593055555555566,25.24305555555557,1.0,0.0,True
2492,45.593055555555566,26.245833333333337,3.0,0.0,True
2494,45.468055555555566,7.998611111111131,1.0,0.0,True
2496,45.468055555555566,22.12361111111113,1.0,0.0,True
2498,45.468055555555566,22.36805555555557,1.0,0.0,True
2500,45.468055555555566,25.245833333333337,2.0,0.0,True
2502,45.468055555555566,25.49305555555557,3.0,0.0,True
2504,45.468055555555566,25.74305555555557,1.0,0.0,True
2506,45.223611111111126,8.245833333333337,1.0,0.0,True
2508,45.343055555555566,22.11805555555557,1.0,0.0,True
2510,45.343055555555566,24.99305555555557,1.0,0.0,True
2512,45.343055555555566,25.24305555555557,4.0,0.0,True
2514,45.343055555555566,25.501388888888897,3.0,0.0,True
2516,45.343055555555566,25.754166666666663,3.0,0.0,True
2518,45.218055555555566,6.998611111111131,2.0,0.0,True
2520,45.218055555555566,7.248611111111131,1.0,0.0,True
2522,45.15972222222223,8.106944444444451,1.0,0.0,True
2524,45.218055555555566,18.495833333333337,1.0,0.0,True
2526,45.218055555555566,21.99305555555557,1.0,0.0,True
2528,45.20972222222224,24.876388888888897,1.0,0.0,True
2530,45.218055555555566,25.20138888888889,1.0,0.0,True
2532,45.093055555555566,6.998611111111131,4.0,0.0,True
2534,45.093055555555566,7.756944444444457,1.0,0.0,True
2536,45.093055555555566,18.245833333333337,1.0,0.0,True
2538,45.08472222222224,18.695833333333358,6.0,0.0,True
2540,45.093055555555566,24.74305555555557,1.0,0.0,True
2542,45.093055555555566,24.99305555555557,1.0,0.0,True
2544,44.968055555555566,6.998611111111131,2.0,0.0,True
2546,44.968055555555566,7.248611111111131,1.0,0.0,True
2548,44.95972222222224,18.298611111111114,6.0,0.0,True
2550,44.945833333333326,18.73750000000001,1.0,0.0,True
2552,44.968055555555566,24.781944444444463,1.0,0.0,True
2554,44.968055555555566,24.99305555555557,1.0,0.0,True
2556,44.843055555555566,7.123611111111131,2.0,0.0,True
2558,44.843055555555566,7.7152777777777715,6.0,0.0,True
2560,44.78472222222223,18.537499999999994,1.0,0.0,True
2562,44.843055555555566,24.537499999999994,1.0,0.0,True
2564,44.843055555555566,24.74305555555557,1.0,0.0,True
2566,44.843055555555566,25.059722222222238,1.0,0.0,True
2568,44.718055555555566,7.248611111111131,1.0,0.0,True
2570,44.718055555555566,16.745833333333337,1.0,0.0,True
2572,44.718055555555566,18.52916666666667,1.0,0.0,True
2574,44.718055555555566,18.745833333333337,1.0,0.0,True
2576,44.66527777777779,19.115277777777777,1.0,0.0,True
2578,44.718055555555566,24.49305555555557,1.0,0.0,True
2580,44.695833333333326,25.08750000000001,1.0,0.0,True
2582,44.593055555555566,7.373611111111131,1.0,0.0,True
2584,44.593055555555566,17.620833333333337,3.0,0.0,True
2586,44.593055555555566,18.495833333333337,1.0,0.0,True
2588,44.593055555555566,18.745833333333337,1.0,0.0,True
2590,44.593055555555566,19.018055555555577,1.0,0.0,True
2592,44.4986111111111,24.293055555555554,1.0,0.0,True
2594,44.593055555555566,24.518055555555577,1.0,0.0,True
2596,44.58472222222224,24.804166666666674,1.0,0.0,True
2598,44.468055555555566,7.129166666666663,1.0,0.0,True
2600,44.468055555555566,16.370833333333337,3.0,0.0,True
2602,44.468055555555566,16.620833333333337,3.0,0.0,True
2604,44.468055555555566,17.518055555555577,1.0,0.0,True
2606,44.468055555555566,17.745833333333337,1.0,0.0,True
2608,44.456944444444446,18.643055555555577,6.0,0.0,True
2610,44.468055555555566,18.879166666666663,1.0,0.0,True
2612,44.468055555555566,19.15972222222223,1.0,0.0,True
2614,44.468055555555566,24.126388888888897,1.0,0.0,True
2616,44.451388888888886,24.379166666666663,6.0,0.0,True
2620,44.343055555555566,7.123611111111131,2.0,0.0,True
2622,44.337500000000006,16.440277777777794,2.0,0.0,True
2624,44.343055555555566,16.620833333333337,4.0,0.0,True
2626,44.343055555555566,16.870833333333337,1.0,0.0,True
2628,44.343055555555566,17.620833333333337,4.0,0.0,True
2630,44.343055555555566,17.870833333333337,1.0,0.0,True
2632,44.343055555555566,18.870833333333337,1.0,0.0,True
2634,44.343055555555566,19.120833333333337,1.0,0.0,True
2636,44.23750000000001,24.370833333333337,6.0,0.0,True
2640,44.218055555555566,6.748611111111131,2.0,0.0,True
2642,44.218055555555566,6.998611111111131,2.0,0.0,True
2644,44.218055555555566,17.634722222222223,1.0,0.0,True
2646,44.218055555555566,18.995833333333337,1.0,0.0,True
2648,44.218055555555566,19.259722222222223,1.0,0.0,True
2650,44.218055555555566,19.495833333333337,1.0,0.0,True
2652,44.17638888888888,19.745833333333337,1.0,0.0,True
2654,44.093055555555566,6.770833333333343,4.0,0.0,True
2656,44.093055555555566,17.515277777777783,1.0,0.0,True
2658,44.093055555555566,18.245833333333337,1.0,0.0,True
2660,44.093055555555566,19.120833333333337,1.0,0.0,True
2662,44.093055555555566,19.370833333333337,1.0,0.0,True
2664,44.093055555555566,19.645833333333343,1.0,0.0,True
2666,44.093055555555566,19.923611111111114,4.0,0.0,True
2668,44.03472222222223,20.901388888888903,6.0,0.0,True
2670,44.02083333333334,24.61805555555557,1.0,0.0,True
2672,43.968055555555566,11.748611111111131,1.0,0.0,True
2674,43.968055555555566,19.20416666666668,1.0,0.0,True
2676,43.968055555555566,19.384722222222223,1.0,0.0,True
2678,43.968055555555566,19.631944444444457,1.0,0.0,True
2680,43.968055555555566,19.90416666666667,1.0,0.0,True
2682,43.89861111111111,20.72361111111113,1.0,0.0,True
2684,43.843055555555566,11.512500000000015,1.0,0.0,True
2686,43.843055555555566,11.748611111111131,1.0,0.0,True
2688,43.843055555555566,11.995833333333335,1.0,0.0,True
2690,43.843055555555566,19.245833333333337,4.0,0.0,True
2692,43.843055555555566,19.495833333333337,4.0,0.0,True
2694,43.843055555555566,19.745833333333337,1.0,0.0,True
2696,43.843055555555566,20.662499999999994,1.0,0.0,True
2698,43.71527777777777,11.870833333333335,1.0,0.0,True
2700,43.718055555555566,11.995833333333335,1.0,0.0,True
2702,43.718055555555566,12.245833333333335,1.0,0.0,True
